Timestamp,Length,Protocol
1734274955.334393,60,STP
1734274957.338074,60,STP
1734274959.33938,60,STP
1734274961.342016,60,STP
1734274963.344339,60,STP
1734274965.352834,60,STP
1734274965.515433,70,ICMPV6
1734274965.515434,70,ICMPV6
1734274967.354118,60,STP
1734274969.357335,60,STP
1734274971.360382,60,STP
1734274973.362,60,STP
1734274975.382638,60,STP
1734274977.384083,60,STP
1734274979.385428,60,STP
1734274981.386118,60,STP
1734274981.859872,70,ICMPV6
1734274983.387792,60,STP
1734274985.388537,60,STP
1734274987.413057,60,STP
1734274989.413892,60,STP
1734274991.416868,60,STP
1734274993.438875,60,STP
1734274995.440139,60,STP
1734274997.439423,60,STP
1734274999.440807,60,STP
1734275001.452727,60,STP
1734275003.446153,60,STP
1734275005.447768,60,STP
1734275007.449126,60,STP
1734275009.451208,60,STP
1734275011.457494,60,STP
1734275013.468634,60,STP
1734275015.470339,60,STP
1734275017.471912,60,STP
1734275019.474492,60,STP
1734275021.475039,60,STP
1734275023.484328,60,STP
1734275025.478312,60,STP
1734275027.480254,60,STP
1734275029.482383,60,STP
1734275031.072632,70,ICMPV6
1734275031.483668,60,STP
1734275033.488322,60,STP
1734275035.488594,60,STP
1734275037.491656,60,STP
1734275039.494464,60,STP
1734275041.496781,60,STP
1734275043.503066,60,STP
1734275045.504202,60,STP
1734275047.516936,60,STP
1734275049.527213,60,STP
1734275051.528284,60,STP
1734275053.529692,60,STP
1734275055.530506,60,STP
1734275057.532148,60,STP
1734275059.535305,60,STP
1734275061.536377,60,STP
1734275063.538471,60,STP
1734275065.540236,60,STP
1734275067.541437,60,STP
1734275069.544852,60,STP
1734275071.547379,60,STP
1734275073.548885,60,STP
1734275075.556676,60,STP
1734275077.561604,60,STP
1734275079.57321,60,STP
1734275080.307694,98,ICMP
1734275080.323442,98,ICMP
1734275080.91729,98,ICMP
1734275080.966839,98,ICMP
1734275080.987018,98,ICMP
1734275081.035351,98,ICMP
1734275081.056699,98,ICMP
1734275081.14788,98,ICMP
1734275081.168722,98,ICMP
1734275081.24787,98,ICMP
1734275081.267878,98,ICMP
1734275081.346657,98,ICMP
1734275081.368532,98,ICMP
1734275081.479786,98,ICMP
1734275081.573005,60,STP
1734275081.585135,98,ICMP
1734275081.600472,98,ICMP
1734275082.225467,98,ICMP
1734275082.245317,98,ICMP
1734275082.877031,98,ICMP
1734275082.892447,98,ICMP
1734275083.552734,98,ICMP
1734275083.567843,98,ICMP
1734275083.577904,60,STP
1734275084.440193,98,ICMP
1734275084.456379,98,ICMP
1734275085.543756,42,ARP
1734275085.559474,42,ARP
1734275085.573529,60,STP
1734275085.574952,42,ARP
1734275085.590142,42,ARP
1734275086.05115,42,ARP
1734275086.067105,42,ARP
1734275086.082541,42,ARP
1734275086.097768,42,ARP
1734275086.307558,42,ARP
1734275086.307563,42,ARP
1734275086.307915,42,ARP
1734275086.347187,42,ARP
1734275086.347188,42,ARP
1734275086.362865,42,ARP
1734275086.362943,42,ARP
1734275086.393524,42,ARP
1734275086.393525,42,ARP
1734275086.394441,42,ARP
1734275086.564191,42,ARP
1734275086.597196,42,ARP
